 x_new  y_new 
0.00260 0.07325 
0.00326 0.09785 
0.00511 0.09499 
0.00525 0.11617 
0.00630 0.13276 
0.00776 0.13791 
0.00851 0.14764 
0.01005 0.15107 
0.01076 0.17625 
0.01256 0.20200 
0.01367 0.22489 
0.01561 0.24607 
0.01662 0.25923 
0.01971 0.30215 
0.02195 0.30959 
0.02319 0.30558 
0.02522 0.25351 
0.02623 0.20773 
0.02689 0.15050 
0.02817 0.10072 
0.02901 0.03090 
0.03311 -0.00744 
0.03813 -0.00172 
0.04342 -0.00343 
0.04902 -0.00401 
0.05405 -0.00401 
0.05974 0.00114 
0.06503 0.00172 
0.07040 -0.00286 
